     MaNGAID     objRA    objDec    g_ps1    r_ps1    i_ps1    z_ps1 gerr_ps1 rerr_ps1 ierr_ps1 zerr_ps1
 3-103840936  40.85906 -13.51618   16.009   14.844   14.082   13.764    0.007    0.005    0.005  999.000
 3-103990774  39.68022 -13.24404   16.082   14.847   14.125   13.791    0.006    0.007    0.004    0.002
 3-103990850  39.84535 -13.59936   16.033   16.073   16.181   16.253    0.004    0.001    0.008    0.004
 3-104222158  21.27184   0.85335   15.023   14.716   14.602   14.581    0.007    0.007    0.002    0.002
 3-104222168  21.39626   0.84367   15.755   15.293   15.155   15.099    0.006    0.005    0.003    0.003
 3-104266063  20.80248   1.06629   15.772   14.854   14.429   14.235    0.011    0.008    0.008    0.009
 3-104308992  20.44836   0.92666   15.199   14.608   14.380   14.311    0.006    0.002    0.005    0.005
 3-104309088  20.92400   0.67637   16.816   16.430   16.307   16.276    0.005    0.005    0.003    0.004
 3-104351534  20.19758   0.83574   16.661   15.611   15.180   14.976    0.006    0.005    0.002    0.003
 3-104351562  20.25908   0.94798   16.270   15.367   14.987   14.810    0.003    0.003    0.002    0.003
 3-104351578  20.41179   0.65234   16.230   15.345   15.012   14.870    0.001    0.003    0.002    0.012
 3-104351581  20.38855   0.74183   15.968   15.662   15.558   15.543    0.004    0.007    0.004    0.005
 3-104474429  16.24768   3.49591   14.796   14.465   14.339   14.311    0.006    0.004    0.003    0.003
 3-104594213  16.49064   2.26970   15.416   14.838   14.641   14.572    0.004    0.003    0.003    0.002
 3-104707693  16.57412   1.25272   15.801   15.535   15.449   15.448    0.003    0.002    0.003    0.003
 3-104743742  15.01799   2.22487   14.622   14.007   13.774   13.674    0.005    0.005    0.003    0.002
 3-105683529  26.29567 -17.14479   16.767   15.571   14.832   14.498    0.004    0.004    0.005    0.002
 3-105683651  27.12220 -17.70436   16.562   15.333   14.173   13.643    0.007    0.004    0.002    0.004
 3-105706310  25.99701 -16.94962   15.663   14.428   13.664   13.305    0.007    0.003    0.004    0.005
 3-105706470  26.74745 -17.80780   16.606   16.617   16.701   16.784    0.009    0.020    0.009    0.006
 3-105751144  25.39177 -17.18892   16.835   15.693   14.527   14.007    0.005    0.010    0.002    0.004
 3-105773390  27.36634 -19.15678   16.645   16.898   17.191   17.451    0.009    0.007    0.004    0.005
 3-105794954  25.95445 -18.45361   16.884   15.693   14.950   14.619    0.003    0.003    0.003    0.003
 3-105795004  26.13891 -18.51617   16.737   16.984   17.244   17.404    0.005    0.008    0.006    0.014
 3-105795077  26.62635 -18.95297   16.370   15.343   14.627   14.267    0.032    0.022    0.025    0.004
 3-105812035   2.51682   1.49592   14.959   14.438   14.255   14.187  999.000    0.002    0.005    0.002
 3-105812093   2.92744   1.16076   14.832   13.969   13.730   13.509    0.006  999.000    0.003    0.003
 3-105853927   1.06417   2.09015   16.767   15.614   15.034   14.746    0.007    0.008    0.005    0.003
 3-105859052  25.69550 -19.08939   16.054   16.283   16.478   16.605    0.006    0.007    0.002    0.005
 3-105859201  26.41303 -19.66888   16.615   15.425   14.362   13.885    0.010    0.009    0.019    0.004
 3-105879654  24.74928 -18.58222   16.353   16.484   16.636   16.728    0.005    0.005    0.005    0.011
 3-105895429   1.90588   1.05576   15.662   14.762   14.419   14.259    0.002    0.002    0.003    0.003
 3-105895582   2.38896   0.40779   16.450   15.322   14.812   14.582    0.004    0.003    0.002    0.003
 3-105900221  25.84335 -19.73231   16.591   15.424   14.088   13.512    0.004    0.006    0.004    0.003
 3-105915183   1.51553   1.08011   15.894   14.799   14.305   14.076    0.005    0.003    0.004    0.003
 3-105919958  25.30511 -19.57256   15.948   14.736   13.856   13.397    0.000    0.008  999.000    0.008
 3-106010730   1.00067  -0.19759   15.948   16.064   16.216   16.309    0.007    0.003    0.003    0.005
 3-106028921   0.76124  -0.26151   15.035   15.208   15.389   15.493    0.008    0.004    0.004    0.002
 3-106049616  13.14241 -11.13880   16.816   15.577   14.825   14.474    0.006    0.004    0.002    0.006
 3-106067510  13.20171 -11.43154   16.617   15.401   14.789   14.499    0.004    0.004    0.002    0.007
