     MaNGAID     objRA    objDec    g_ps1    r_ps1    i_ps1    z_ps1 gerr_ps1 rerr_ps1 ierr_ps1 zerr_ps1
 3-149317064 141.24178  46.73783   15.496   14.306   13.509   13.114    0.005    0.006    0.006  999.000
 3-149418784 255.61499  11.58923   17.627   16.345   14.811   14.088    0.014    0.008    0.005    0.003
 3-149442302 142.81433  48.49359   16.424   15.200   14.433   14.090    0.004    0.007    0.002    0.003
 3-149442432 142.20646  47.92487   14.955   13.791   13.021 -999.000    0.003    0.003  999.000  999.000
 3-149442508 141.72949  47.69477   17.004   15.794   14.507   13.920    0.004  999.000    0.003    0.006
 3-149442523 141.56350  47.54126   14.971   14.610   14.475   14.478    0.005  999.000    0.004    0.004
 3-149442634 141.08434  46.81422   16.884   15.655   14.669   14.227    0.017    0.012    0.003    0.002
 3-149560115 216.73289  49.17772   15.476   14.573   14.217   14.085    0.004    0.003    0.004    0.002
 3-149560224 215.87450  49.84035   15.658   14.654   14.201   13.985    0.002    0.005    0.003    0.004
 3-149567545 141.94213  48.16986   16.572   16.155   16.026   16.002    0.004    0.003    0.003    0.003
 3-149567582 141.89735  48.05105   16.980   15.785   15.128   14.836    0.005    0.006    0.002    0.005
 3-149567795 140.74590  47.05751   16.903   15.735   15.091   14.768    0.007    0.005    0.005    0.008
 3-149567824 140.80389  46.97163   16.275   15.865   15.749   15.704    0.003    0.009    0.004    0.002
 3-149678234 243.08296  23.32630   15.524   15.602   15.568   15.666    0.063    0.054    0.030    0.059
 3-149685791 216.82702  49.46197   16.262   15.946   15.850   15.844    0.003    0.003    0.005    0.007
 3-149685944 215.81643  50.32761   16.113   15.758   15.597   15.557    0.002    0.010    0.002    0.003
 3-149693286 142.58623  48.87419   16.595   15.344   13.990   13.370    0.005    0.005    0.004    0.114
 3-149693464 141.74986  48.17247   16.714   15.505   14.719   14.380    0.003    0.003    0.002    0.004
 3-149693488 141.63363  47.97885   16.986   15.771   15.034   14.703    0.004    0.004    0.005    0.001
 3-149693666 140.74133  47.37855   16.718   15.503   14.351   13.838    0.008    0.006    0.003    0.003
 3-149693701 140.44174  47.23508   16.299   15.372   14.991   14.834    0.002    0.004    0.003    0.002
 3-149810701 218.04507  48.78254   15.801   14.835   14.448   14.306    0.004    0.004    0.006    0.008
 3-149810711 217.76580  48.92940   15.350   14.619   14.339   14.239    0.002    0.003    0.008    0.003
 3-149810883 216.75157  49.63885   14.787   14.214   13.998   13.911    0.003    0.005    0.008    0.003
 3-149818448 142.10782  48.79937   15.774   14.533   13.631   13.241    0.008    0.015    0.007  999.000
 3-149818505 141.90791  48.83442   16.182   15.898   15.791   15.783    0.004    0.010    0.003    0.004
 3-149818543 141.71324  48.70156   16.081   14.901   14.327   14.045    0.005    0.005    0.004    0.004
 3-149818605 141.42803  48.21747   16.744   15.513   14.727   14.375  999.000    0.005    0.003    0.006
 3-149927897 243.93143  23.11248   15.904   15.466   15.296   15.228    0.002    0.005    0.005    0.003
 3-149927982 243.82486  23.36404   15.889   15.538   15.410   15.361    0.006    0.004    0.002    0.003
 3-149928184 243.33011  23.82511   15.074   14.318   14.040   13.869    0.003    0.007    0.008  999.000
 3-149935793 217.74916  49.37491   16.379   16.576   16.777   16.891    0.009    0.004    0.002    0.005
 3-149935878 217.35007  49.66030   16.915   15.742   14.932   14.575    0.004    0.003    0.006    0.002
 3-149935941 216.81056  50.17921   15.098   14.286   13.958   13.824    0.005    0.011  999.000    0.008
 3-149935960 216.63615  50.08985   15.273   14.647   14.441   14.354    0.001    0.004    0.005    0.003
 3-149936005 216.58591  50.10076   15.772   14.847   14.435   14.216    0.005    0.002    0.003    0.010
 3-149936060 215.91885  50.70391   16.849   15.659   14.979   14.663    0.004    0.003    0.003    0.005
 3-149943482 141.99839  48.96886   15.406   14.219   13.512   13.263    0.009    0.023  999.000    0.006
 3-149943532 141.41862  48.61983   16.950   15.708   14.760   14.343    0.004    0.005    0.004    0.003
 3-150051972 243.72157  23.61194   17.220   16.632   16.355   16.236    0.009    0.004    0.002    0.003
 3-150059420 218.23785  49.19532   15.675   15.735   15.803   15.901    0.008    0.009    0.005    0.014
 3-150067221 141.66260  49.06106   16.916   15.700   14.621   14.094    0.003    0.002    0.002    0.003
 3-150067225 141.51371  49.18304   15.431   14.245   13.333   12.937    0.007    0.005    0.003  999.000
 3-150067370 140.52029  48.25921   16.846   15.624   14.654   14.213    0.006    0.003    0.002    0.004
 3-150067464 140.20498  48.03936   15.656   14.472   13.381   12.872    0.006    0.008  999.000  999.000
 3-150067470 140.26901  47.99367   16.797   16.019   15.738   15.615    0.004    0.002    0.002    0.008
 3-150067507 140.08917  47.81730   16.486   15.271   14.320   13.908    0.043    0.009    0.001    0.005
 3-150174928 244.11436  23.56545   14.946   14.238   13.994   13.840    0.004    0.001    0.009    0.002
 3-150182731 218.35049  49.52662   14.622   13.941   13.641   13.568    0.002    0.006  999.000    0.008
 3-150182827 217.97232  49.84006   15.115   14.441   14.172   14.162    0.003    0.014    0.002  999.000
 3-150190840 140.81730  48.69269   16.730   15.514   14.738   14.390    0.010    0.004    0.005    0.007
 3-150190842 140.87592  48.75149   15.898   16.038   16.211   16.301    0.004    0.005    0.003    0.005
 3-150190852 140.50024  48.60481   16.976   15.716   14.199   13.516    0.003    0.004    0.004    0.004
 3-150190875 140.53835  48.46102   16.851   15.641   14.821   14.454    0.005    0.010    0.004    0.006
 3-150298806 244.28461  23.89071   15.220   14.520   14.247   14.129    0.003    0.002    0.002    0.001
 3-150306561 217.69383  50.47633   15.772   14.777   14.378   14.193    0.004    0.005    0.005    0.006
 3-150306680 216.47779  51.25111   16.264   15.115   14.582   14.337    0.003    0.003    0.006    0.001
 3-150431179 218.52706  50.15110   14.663   13.886   13.560   13.392    0.007    0.005    0.007    0.005
 3-150431480 216.81967  51.38616   16.814   16.501   16.406   16.404    0.008    0.004    0.003    0.003
 3-150558622 219.32559  49.63666   15.305   14.335   13.920   13.734    0.009    0.003    0.002    0.000
 3-150558879 217.78993  50.88509   16.723   15.521   14.894   14.600    0.008    0.004    0.003    0.005
 3-150684084 219.53276  50.04733   15.174   14.310   13.986   13.848    0.007    0.004    0.006    0.004
 3-150684443 217.73956  51.41440   16.115   14.983   14.463   14.239    0.008    0.006    0.006    0.003
 3-150684464 217.33770  51.58373   16.200   15.050   14.464   14.219    0.007    0.006    0.004    0.003
 3-150809352 219.72432  49.94734   14.596   14.027   13.790   13.704    0.006    0.010    0.002    0.004
 3-150809474 218.95134  50.61827   15.482   14.662   14.370   14.256    0.006    0.002    0.003    0.003
 3-150809604 218.48178  51.25241   15.988   14.904   14.465   14.273    0.004    0.002    0.003    0.005
 3-150809618 218.34656  51.29057   15.329   14.629   14.390   14.285    0.004    0.006    0.004    0.004
 3-150809638 217.99102  51.40759   15.303   14.246   13.829   13.606    0.007    0.006    0.006    0.005
 3-150809639 217.90685  51.42388   14.565   14.007   13.796   13.732    0.004    0.008    0.004    0.003
 3-150935284 218.48422  51.29719   14.902   14.024   13.700   13.566    0.003    0.004    0.001    0.005
 3-151067615 146.20163  55.11002   16.012   15.531   15.351   15.294  999.000    0.002    0.003    0.003
 3-151067713 145.53923  54.78679   14.730   14.993   15.270   15.513    0.002    0.001    0.006    0.005
 3-151067745 145.56611  54.57327   15.890   15.156   14.886   14.781    0.002    0.003    0.003    0.006
 3-151190892 146.20168  55.34167   15.758   14.863   14.523   14.356    0.005    0.003    0.003    0.003
 3-151190899 146.02820  55.31640   16.748   15.574   14.997   14.707    0.008    0.006    0.003    0.003
 3-151191160 144.24768  54.23109   15.534   14.326 -999.000   13.221    0.002    0.002  999.000  999.000
 3-151312988 145.56775  55.15139   15.902   14.762   14.179   13.921    0.006    0.004    0.003    0.011
 3-151313028 145.62733  55.39644   15.901   14.685   13.981   13.666    0.004    0.003    0.007    0.002
 3-151313283 143.65579  54.16567   15.711   14.688   14.271   14.065    0.003    0.003    0.001    0.005
 3-151434921 145.65344  55.56759   15.097   14.313   14.003   13.854    0.008    0.004    0.004    0.001
 3-151434958 145.47476  55.59799   14.682   14.002   13.757   13.671    0.006    0.025    0.003  999.000
 3-151434975 145.46422  55.40005   15.679   14.701   14.311   14.127    0.002    0.006    0.003    0.004
 3-151556973 145.88561  56.18895   15.212   14.794   14.651   14.622    0.004    0.002    0.002    0.002
 3-151556987 145.79539  56.07205   14.705   14.208   14.046   13.998    0.006    0.005    0.004    0.004
 3-151557308 143.88594  54.78253   14.729   13.782   13.331   13.098    0.010    0.006  999.000  999.000
 3-151679153 145.11514  56.07021   14.711   13.965   13.687   13.599    0.002    0.009  999.000    0.007
 3-151679248 144.65507  55.76425   15.066   14.427   14.190   14.100    0.004    0.008    0.003    0.005
 3-151679504 143.40634  54.67200   14.868   14.213   13.957   13.831    0.004    0.004    0.003    0.009
 3-151800806 143.33912  54.93251   14.692   14.094   13.899   13.830    0.005    0.006    0.003    0.005
 3-151921096 143.25393  55.35841   16.044   14.846   14.143   13.804    0.007    0.003    0.002  999.000
 3-151921147 142.86929  55.04729   14.717   13.725   13.344   13.196    0.002    0.011    0.004  999.000
 3-151921203 142.62043  54.85639   15.687   14.479   13.729   13.557    0.012    0.032    0.025  999.000
 3-152035500 214.96505  56.88539   16.219   15.940   15.871   15.856    0.008    0.007    0.003    0.004
 3-152041816 144.45080  56.30473   15.746   14.540   13.813   13.487    0.003    0.003    0.018    0.004
 3-152041868 144.19264  56.40137   15.016   14.400   14.161   14.068    0.007    0.003    0.003    0.001
 3-152042051 142.97730  55.40730   16.113   14.932   13.830   13.367    0.020    0.023    0.016    0.073
 3-152042065 143.03156  55.36053   16.546   16.085   15.930   15.897    0.005    0.006    0.003    0.003
 3-152042120 142.62266  55.33140   15.923   14.919   14.506   14.310    0.006    0.002    0.003    0.004
 3-152155518 216.45169  56.18522   15.931   15.633   15.539   15.523    0.006    0.004    0.004    0.004
 3-152155609 215.86956  56.61948   16.135   15.472   15.265   15.153    0.003    0.006  999.000    0.007
 3-152161912 144.54063  56.75204   14.729   14.069   13.791   13.661    0.003    0.004    0.011    0.000
 3-152161958 144.36525  56.69090   14.590   13.812   13.491   13.383    0.003    0.004  999.000  999.000
 3-152162055 143.82200  56.49130   14.922   14.321   14.146   14.082    0.003    0.004    0.002    0.004
 3-152162067 143.56572  56.23053   16.811   15.606   14.610   14.147    0.004    0.007    0.003    0.004
 3-152162150 143.05712  56.01525   16.650   15.465   14.845   14.567    0.001    0.005    0.002    0.005
 3-152162364 141.82495  55.06766   15.066   14.505   14.262   14.162    0.004    0.004    0.002    0.004
 3-152162429 141.83138  54.89847   16.747   15.535   14.585   14.166    0.007    0.005    0.004    0.001
 3-152275111 215.40140  57.01415   15.277   15.000   14.916   14.894    0.006    0.001    0.003    0.006
 3-152275116 215.46831  56.98316   16.476   16.628   16.827   16.941    0.001    0.005    0.004    0.004
 3-152275125 215.15230  57.26600   14.980   14.688   14.606   14.599    0.005    0.002    0.007    0.013
 3-152275129 215.33526  57.30819   15.323   15.085   15.019   15.025    0.004    0.004    0.003    0.004
 3-152281662 143.32280  56.25569   15.197   14.029   13.437   13.168    0.004    0.004  999.000  999.000
 3-152281795 142.08278  55.66992   15.442   14.268   13.708 -999.000    0.003    0.003  999.000  999.000
 3-152393461 215.81392  57.37424   15.757   15.048   14.773   14.632    0.007    0.003    0.002    0.003
 3-152399843 143.17643  56.70443   16.866   15.702   14.429   13.854    0.002    0.003    0.003    0.003
 3-152399890 142.88048  56.50460   16.469   15.270   14.641   14.360    0.006    0.003    0.003    0.003
 3-152399927 142.94492  56.31593   15.604   15.272   15.148   15.122    0.003    0.002    0.003    0.005
 3-152399985 142.38031  56.10171   16.021   14.873   14.337   14.103    0.005    0.004    0.002    0.005
 3-152400105 141.78483  55.58795   15.843   14.602   13.764   13.367    0.004    0.005    0.001  999.000
 3-152511304 216.80267  56.94670   15.955   15.462   15.298   15.242    0.004    0.006    0.005    0.005
 3-152511344 216.18409  57.22697   16.193   15.833   15.742   15.718    0.003    0.004    0.004    0.006
 3-152511367 215.96133  57.40326   15.234   14.706   14.514   14.431    0.006    0.005    0.003    0.002
 3-152511406 215.55297  57.58200   16.497   16.644   16.805   16.905    0.006    0.005    0.004    0.005
 3-152517742 143.00409  56.86565   17.270   16.086   14.865   14.223  999.000    0.030  999.000  999.000
 3-152517759 142.82927  56.74428   15.372   14.539   14.163   13.991    0.002    0.006    0.004    0.005
 3-152517822 142.53651  56.43219   14.534   13.792   13.520   13.353    0.014    0.003    0.002  999.000
 3-152517915 141.90859  56.22413   15.142   13.966   13.237 -999.000    0.003    0.010    0.001  999.000
 3-152627608 216.91705  57.23862   16.032   15.372   15.136   15.038    0.005    0.007    0.004    0.014
 3-152627624 216.81072  57.10155   16.262   15.952   15.844   15.802    0.003    0.003    0.003    0.003
 3-152627636 216.81919  57.23453   14.685   14.153   13.923   13.826    0.006    0.006    0.010    0.005
 3-152627741 215.89973  57.87487   15.549   15.107   14.958   14.904    0.011    0.002    0.004    0.007
 3-152627747 216.05599  57.76849   16.101   15.798   15.684   15.676    0.003    0.002    0.002    0.003
 3-152627765 215.97585  57.65310   16.124   15.697   15.527   15.471    0.003    0.005    0.003    0.005
 3-152627846 215.18499  58.18609   16.389   15.829   15.590   15.464    0.004    0.004    0.004    0.009
 3-152634458 142.13216  56.45559   15.099   14.427   14.204   14.129    0.004    0.003    0.002    0.006
 3-152744738 217.60884  56.91164   14.577   14.065   13.919   13.872    0.002    0.003    0.002  999.000
 3-152744755 217.84885  57.00416   14.904   14.191   13.922   13.807    0.004    0.003    0.003    0.004
 3-152744900 216.41770  57.94669   15.240   15.347   15.411   15.399    0.049    0.021    0.027    0.013
 3-152744940 216.42194  57.70208   16.236   16.009   15.943   15.962    0.012    0.002    0.002    0.004
 3-152745015 215.96758  58.13583   16.376   15.961   15.790   15.742    0.005    0.006    0.002    0.007
 3-152860986 218.61810  56.84667   16.631   16.326   16.187   16.170    0.003    0.004    0.004    0.002
 3-152860996 218.27331  57.01812   15.111   14.516   14.333   14.250    0.003    0.001    0.017    0.003
 3-152861035 218.15487  56.90263   16.260   15.967   15.895   15.881    0.005    0.008    0.002    0.008
 3-152861231 216.58303  58.06139   16.124   15.840   15.767   15.756    0.003    0.005    0.003    0.004
 3-152861310 215.93463  58.47799   16.144   15.860   15.773   15.763    0.002    0.005    0.002    0.001
 3-152975174 218.86103  56.73757   15.938   15.609   15.489   15.477    0.006    0.006    0.002    0.003
 3-152975193 218.82190  56.95198   15.295   14.811   14.659   14.591    0.005    0.005    0.009    0.007
 3-152975427 217.13409  58.07777   16.027   15.786   15.728   15.738    0.005    0.003    0.004    0.007
 3-153088866 218.84128  57.10000   16.354   15.491   15.071   14.836    0.014    0.007    0.004    0.007
 3-153088910 218.47001  57.34311   16.304   15.837   15.672   15.600    0.004    0.004    0.003    0.006
 3-153089223 216.64653  58.71524   16.288   16.278   16.349   16.416    0.003    0.003    0.004    0.009
 3-153089266 216.25547  58.82529   14.787   14.658   14.684   14.714    0.008    0.005    0.002    0.005
 3-153201522 218.91403  57.45472   16.312   16.028   15.966   15.943    0.002    0.004    0.002    0.005
 3-153201626 218.08505  58.04441   16.434   15.940   15.779   15.704  999.000    0.006    0.008    0.003
 3-153201684 217.80465  58.30975   16.329   16.093   16.010   16.015    0.004    0.006    0.001    0.004
 3-153201767 217.23841  58.72195   15.637   15.453   15.412   15.434    0.004    0.002    0.002    0.002
 3-153201782 217.00890  58.80888   14.730   14.271   14.098   14.054    0.004    0.005    0.002    0.003
 3-153426362 218.62350  58.50208   15.353   15.151   15.111   15.111    0.005    0.005    0.003    0.004
 3-153426398 218.68374  58.22268   16.398   16.134   16.068   16.069    0.003    0.003    0.003    0.002
 3-153537821 218.77475  58.48173   16.269   16.060   16.004   15.996    0.003    0.004    0.002    0.003
 3-153537836 218.91739  58.46301   15.367   15.125   15.050   15.043    0.003    0.003    0.003    0.003
 3-1546325    15.21923  86.48618   16.369   15.149   14.259   13.841  999.000    0.005    0.005    0.005
 3-154817785 197.31605  70.73996   14.637   14.145   13.994   13.937    0.004    0.005    0.006    0.004
 3-154817794 196.81208  71.01856   15.021   13.883   13.359   13.111    0.004    0.002  999.000  999.000
 3-154817874 196.13035  71.20195   16.616   16.584   16.663   16.722    0.003    0.017    0.004    0.007
 3-155017093 199.45530  70.77734   16.132   15.118   14.666   14.455    0.002    0.003    0.003    0.010
 3-155017232 197.53753  71.20652   14.513   13.818   13.557   13.426    0.004    0.006    0.003  999.000
 3-155213785 200.05022  71.01499   15.809   14.767   14.340   14.143    0.005    0.005    0.004    0.007
 3-155213937 198.44229  71.48176   15.332   14.411   14.062   13.909  999.000    0.003    0.003    0.003
 3-155311030 199.98896  71.26531   16.738   15.629   14.930   14.619    0.002    0.005    0.002    0.003
 3-155311045 199.43985  71.46541   15.881   14.727   14.164   13.890    0.003    0.005    0.009    0.007
 3-155311052 199.01892  71.41757   15.535   14.478   13.995   13.776    0.002    0.005    0.005    0.008
 3-155311156 198.11459  71.84874   15.174   14.504   14.272   14.169    0.003    0.002    0.007    0.010
 3-155408000 198.75609  71.70816   14.656   14.063   13.841   13.753    0.004    0.003    0.009    0.003
 3-155503733 200.56916  71.49960   14.941   14.056   13.694   13.540    0.003    0.002  999.000    0.008
 3-155503890 198.78966  71.98353   14.639   14.054   13.830   13.730    0.005    0.003    0.004    0.012
 3-155692002 201.22236  71.91346   15.580   14.681   14.349   14.186    0.002    0.004    0.011    0.004
 3-155692172 199.37536  72.39797   14.834   14.232   13.983   13.886    0.007    0.006    0.006    0.008
 3-155692276 197.48335  72.83322   15.673   14.788   14.429   14.277    0.004    0.003    0.008    0.002
 3-155692277 197.43661  72.87766   15.450   14.761   14.445   14.315    0.002    0.001    0.011    0.004
 3-155785346 200.22860  72.47605   14.888   14.433   14.337   14.285    0.016    0.112    0.010    0.006
 3-155785558 197.07984  73.16220   15.185   14.209   13.778   13.581    0.013    0.003    0.011    0.006
 3-155877222 198.58493  73.02657   15.629   14.761   14.449   14.312    0.011    0.002    0.003    0.007
 3-156241027 202.07439  73.06643   14.690   13.965 -999.000   13.589    0.005    0.005  999.000    0.002
 3-156577570 241.67079  51.14747   14.803   14.800   14.820   14.904    0.004    0.010    0.005    0.004
 3-156661776 242.10031  51.15646   15.654   15.266   15.113   15.071    0.005    0.003  999.000    0.004
 3-156661987 241.61973  51.74911   16.373   16.127   16.040   16.032    0.003    0.007    0.002    0.007
 3-156746440 243.24994  50.33124   15.814   15.967   16.133   16.227    0.004    0.002    0.002    0.002
 3-156746497 243.06489  50.44895   17.961   17.182   16.877   16.734    0.004    0.005    0.002    0.004
 3-156746538 242.86895  50.60103   16.407   15.920   15.711   15.637    0.005    0.007    0.005    0.002
 3-156746868 242.42831  51.63979   15.413   15.440   15.547   15.607    0.010    0.004    0.003    0.004
 3-156831690 243.34370  50.96250   16.171   16.383   16.601   16.704    0.003    0.003    0.003    0.006
 3-156831810 242.86471  51.22528   15.443   14.892   14.668   14.565    0.005    0.002    0.002    0.003
 3-156831812 242.93686  51.21085   14.681   14.777   14.924   15.001    0.004    0.004    0.002    0.004
 3-156831835 243.08146  51.29074   16.464   16.019   16.063   15.966    0.081    0.055    0.032    0.037
 3-156831865 242.83460  51.41314   15.605   15.258   15.157   15.133    0.003    0.004    0.003    0.003
 3-156831901 242.79784  51.30176   15.894   15.682   15.613   15.611    0.003    0.002    0.002    0.002
 3-156832049 242.56633  52.07885   16.172   15.640   15.452   15.373    0.004    0.003    0.003    0.004
 3-156917814 243.67362  51.03515   16.360   15.682   15.379   15.249    0.001    0.004    0.002    0.003
 3-156917904 243.16083  51.33012   16.445   16.105   16.003   15.985    0.007    0.002    0.002    0.004
 3-156917931 243.31551  51.40173   16.218   15.724   15.529   15.437    0.005    0.003    0.003    0.002
 3-156918008 242.88778  51.73973   16.142   15.819   15.712   15.687    0.004    0.002    0.003    0.004
 3-156918023 242.91558  51.68766   16.234   15.825   15.687   15.632    0.003    0.004    0.003    0.004
 3-156918049 243.08708  51.98085   15.457   14.883   14.702   14.607    0.003    0.003    0.002    0.004
 3-156918068 242.91469  52.09014   16.395   15.916   15.736   15.659    0.005    0.003    0.003    0.001
 3-156918072 242.98146  52.14947   16.338   16.112   16.049   16.057    0.006    0.004    0.003    0.002
 3-156918104 242.94852  51.95700   16.366   16.095   16.019   15.999    0.005    0.003    0.002    0.004
 3-156918192 242.64278  52.57664   14.863   14.456   14.297   14.238    0.005    0.005    0.004    0.004
 3-157004698 244.12782  50.61864   16.003   15.742   15.665   15.636    0.002    0.001    0.005    0.002
 3-157004967 243.55639  51.34100   14.887   14.433   14.274   14.187    0.004    0.006    0.005    0.002
 3-157004994 243.52172  51.70508   16.320   15.773   15.545   15.452    0.004    0.002    0.005    0.001
 3-157005175 243.06707  52.24388   15.366   14.894   14.744   14.681    0.004    0.006    0.002    0.002
 3-157005178 243.21139  52.20046   15.127   14.971   14.964   14.990    0.003    0.004    0.002    0.001
 3-157005372 242.82146  52.83144   15.654   15.074   14.840   14.732    0.004  999.000    0.003    0.004
 3-157005373 242.73615  52.73008   15.965   15.494   15.304   15.232    0.010    0.011    0.007    0.005
 3-157092322 244.17735  51.61163   15.221   14.730   14.524   14.428    0.004    0.006    0.003    0.002
 3-157092332 244.17776  51.58169   16.186   15.773   15.615   15.550    0.003    0.002    0.004    0.002
 3-157092398 244.01378  51.52488   15.523   15.066   14.911   14.850    0.001    0.005    0.005    0.003
 3-157092400 244.03225  51.68060   16.234   15.669   15.429   15.318    0.007    0.005    0.003    0.005
 3-157092530 243.74651  52.03049   15.015   14.359   14.136   14.041    0.001    0.004    0.003    0.003
 3-157092606 243.73004  52.27459   16.105   15.848   15.781   15.766    0.006    0.003    0.002    0.002
 3-157092627 243.66708  52.12241   16.109   15.660   15.501   15.442    0.002    0.004    0.003    0.003
 3-157092777 243.44155  52.73818   15.192   14.689   14.487   14.413    0.005    0.028    0.005    0.003
 3-157092831 243.13645  52.73283   16.423   15.846   15.596   15.486    0.003    0.004    0.002    0.002
 3-157179649 245.01567  50.80828   15.515   15.022   14.803   14.704    0.005    0.006    0.004    0.004
 3-157179911 244.52024  51.66004   15.530   14.931   14.682   14.574    0.003    0.002    0.002    0.003
 3-157179955 244.41013  51.61915   16.305   15.990   15.885   15.863    0.005    0.002    0.003    0.005
 3-157180333 243.57313  52.86714   16.132   15.874   15.774   15.757    0.001    0.002    0.004    0.005
 3-157267750 244.49165  51.90668   15.182   14.653   14.420   14.304    0.002    0.002    0.003    0.003
 3-157267791 244.80733  52.04226   16.149   16.313   16.523   16.623    0.004    0.005    0.002    0.005
 3-157267931 244.41461  52.36566   15.421   14.909   14.709   14.633    0.004    0.002    0.002    0.001
 3-157268044 244.31220  52.79012   15.232   14.587   14.362   14.262  999.000    0.003    0.002    0.002
 3-157268143 243.99633  52.89307   16.391   16.168   16.095   16.100    0.002    0.004    0.002    0.002
 3-157354714 245.59090  50.89582   14.887   14.343   14.135   14.043    0.005    0.004    0.002    0.003
 3-157354812 245.65523  51.20960   16.421   16.075   15.955   15.914    0.002    0.004    0.003    0.005
 3-157354837 245.43785  51.45421   16.151   15.147   14.707   14.489    0.003    0.003    0.003    0.004
 3-157355156 244.94889  52.26541   16.465   16.098   15.958   15.917    0.002    0.003    0.002    0.004
 3-157355218 244.94580  52.51731   16.450   16.066   15.912   15.848    0.007    0.009    0.002    0.006
 3-157355327 244.51108  52.85488   16.388   15.854   15.648   15.558    0.003    0.003    0.002    0.003
 3-157355354 244.55591  52.71369   16.446   16.045   15.918   15.886    0.003    0.003    0.003    0.003
 3-157442321 245.05416  52.72041   14.650   14.022   13.775   13.656    0.006    0.005    0.001    0.005
 3-158472527 118.73516  65.14272   15.926   15.171   14.921   14.802    0.004    0.007    0.002    0.002
 3-158554870 118.86661  65.60142   16.172   15.569   15.339   15.230    0.004    0.006    0.002    0.005
 3-158635912 119.39399  66.73423   16.477   16.124   16.008   15.971    0.004    0.002    0.004    0.006
 3-158635993 119.01038  66.45701   16.234   15.728   15.556   15.474    0.004    0.003    0.003    0.003
 3-158636330 118.43361  65.68996   16.117   15.606   15.444   15.379    0.005    0.005    0.003    0.003
 3-158636338 118.15443  65.62977   15.708   15.712   15.812   15.892    0.003    0.005    0.003    0.005
 3-158636779 117.15228  64.90173   16.017   15.856   15.848   15.881    0.004    0.004    0.003    0.006
 3-158717560 117.73987  65.63197   15.441   14.813   14.521   14.374    0.003    0.004    0.003    0.002
 3-158717765 117.31292  65.12345   16.166   15.591   15.386   15.291    0.008    0.003    0.002    0.003
 3-158717816 116.74569  65.07497   16.143   15.572   15.345   15.256    0.004    0.001    0.002    0.004
 3-158797621 118.77859  67.08883   14.863   14.994   15.168   15.255    0.004    0.002    0.002    0.005
 3-158798164 117.49393  66.12473   15.935   15.446   15.315   15.264    0.004    0.003    0.002    0.005
 3-158798205 117.48372  66.14585   15.950   15.464   15.294   15.233    0.002    0.004    0.002    0.003
 3-158798543 116.52928  65.25380   16.369   15.841   15.664   15.585    0.006    0.002    0.002    0.003
 3-158878083 116.50879  66.01870   15.714   15.249   15.097   15.054    0.005    0.003    0.004    0.003
 3-158878194 116.39939  65.73556   16.446   15.918   15.737   15.665    0.003    0.005    0.003    0.007
 3-158878358 115.87897  65.20646   16.132   15.568   15.325   15.220    0.008    0.003    0.002    0.002
 3-158878359 115.87338  65.25872   16.129   15.607   15.418   15.342    0.004    0.004    0.002    0.001
 3-158878473 115.86227  65.10267   16.418   15.855   15.640   15.523    0.007    0.005    0.003    0.003
 3-158878582 115.26744  64.89781   16.123   15.215   14.825   14.622    0.003    0.004    0.002    0.003
 3-158956642 117.43049  67.14032   16.381   16.184   16.119   16.125    0.006    0.004    0.002    0.006
 3-158956885 116.75072  66.60527   16.295   15.746   15.560   15.485    0.002    0.003    0.003    0.005
 3-158956960 116.35400  66.42802   16.117   15.526   15.342   15.130    0.032    0.009    0.006    0.006
 3-158957073 116.34828  66.26257   16.554   16.232   16.140   16.109    0.003    0.002    0.002    0.003
 3-158957159 116.11277  65.91474   16.479   16.217   16.156   16.149    0.002    0.003    0.005    0.003
 3-158957486 115.34377  65.40028   15.722   15.387   15.274   15.236    0.005    0.004    0.003    0.003
 3-158957632 115.21871  65.16207   15.070   14.537   14.322   14.223    0.004    0.007    0.005    0.002
 3-158957639 115.03156  65.13659   16.196   15.774   15.614   15.590    0.003    0.007    0.004    0.005
 3-159036373 116.20836  67.08114   15.709   15.218   15.035   14.974    0.004    0.003    0.004    0.010
 3-159036674 115.81202  66.34832   15.699   15.245   15.102   15.050    0.002    0.004    0.002    0.011
 3-159036958 114.82378  65.85326   16.517   16.037   15.900   15.866    0.006    0.002    0.002    0.005
 3-159037296 114.18036  65.25708   15.908   15.505   15.360   15.312    0.003    0.001    0.003    0.007
 3-159037305 114.12179  65.22331   16.403   15.885   15.695   15.620    0.002    0.004    0.004    0.005
 3-159114696 116.08882  67.26506   15.770   15.452   15.375   15.362    0.008    0.002    0.003    0.008
 3-159114697 116.31612  67.36380   16.077   15.430   15.153   15.026    0.004    0.007    0.003    0.007
 3-159114905 115.14779  66.82320   16.145   15.617   15.413   15.326    0.003    0.004    0.003    0.003
 3-159114988 115.28115  66.90693   16.106   15.634   15.459   15.398    0.003    0.003    0.002    0.002
 3-159115139 114.95900  66.53206   16.250   15.471   15.216   15.085    0.008    0.005    0.003    0.003
 3-159115183 114.92444  66.53910   15.821   15.882   16.018   16.051    0.011    0.003    0.004    0.005
 3-159115521 114.07429  65.73707   16.516   16.103   15.948   15.888    0.005    0.002    0.004    0.007
 3-159115611 114.19872  65.46329   16.364   15.802   15.583   15.478    0.004    0.097    0.007    0.009
 3-159115668 113.94506  65.44813   15.579   14.793   14.455   14.285    0.004    0.005    0.002    0.004
